sentence,itemnum,condition,group,type,the,adj,and
John noticed a cat on my roof last night; cats are skilled climbers.,1,a,A,frazier,frazier,frazier,frazier
Cats are skilled climbers; John noticed a cat on my roof last night.,1,c,B,frazier,frazier,frazier,frazier
Seth found a dog near the picnic basket yesterday; dogs are really smart.,2,a,B,frazier,frazier,frazier,frazier
Dogs are really smart; Seth found a dog near the picnic basket yesterday.,2,c,A,frazier,frazier,frazier,frazier
Tom saw a horned owl last winter; horned owls are difficult to spot.,3,a,A,frazier,frazier,frazier,frazier
Horned owls are difficult to spot; Tom saw a horned owl last winter.,3,c,B,frazier,frazier,frazier,frazier
Today Ann saw a deer in her backyard; deer will forage anywhere these days.,4,a,B,frazier,frazier,frazier,frazier
Deer will forage anywhere these days; today Ann saw a deer in her backyard.,4,c,A,frazier,frazier,frazier,frazier
Kurt saw a bald eagle in Alaska; bald eagle are rare in most places.,5,a,A,frazier,frazier,frazier,frazier
Bard eagle are rare in most places; Kurt saw a bald eagle in Alaska.,5,c,B,frazier,frazier,frazier,frazier
Kyle noticed a new Porsche at work today; Porsches are expensive.,6,a,B,frazier,frazier,frazier,frazier
Porsches are expensive; Kyle noticed a new Porsche at work today.,6,c,A,frazier,frazier,frazier,frazier
Paula saw an ostrich at the zoo; ostriches are incredibly fast.,7,a,A,frazier,frazier,frazier,frazier
Ostriches are incredibly fast; Paula saw an ostrich at the zoo.,7,c,B,frazier,frazier,frazier,frazier
Debbi took care of a horse at the ranch; horses are temperamental animals.,8,a,B,frazier,frazier,frazier,frazier
Horses are temperamental animals; Debbi took care of a horse at the ranch.,8,c,A,frazier,frazier,frazier,frazier
Lisa bought a guinea pig yesterday; guinea pigs make great pets.,9,a,A,frazier,frazier,frazier,frazier
Guinea pigs make great pets; Lisa bought a guinea pig yesterday.,9,c,B,frazier,frazier,frazier,frazier
Elizabeth scared a porcupine last night; porcupines startle easily.,10,a,B,frazier,frazier,frazier,frazier
Porcupines startle easily; Elizabeth scared a porcupine last night.,10,c,A,frazier,frazier,frazier,frazier
Jim spotted a reporter near the ambulance; reporters are cruel sometimes.,11,a,A,frazier,frazier,frazier,frazier
Reporters are cruel sometimes; Jim spotted a reporter near the ambulance.,11,c,B,frazier,frazier,frazier,frazier
Sue cursed an antique dealer yesterday; antique dealers are quite cunning.,12,a,B,frazier,frazier,frazier,frazier
Antique dealers are quite cunning; Sue cursed an antique dealer yesterday.,12,c,A,frazier,frazier,frazier,frazier
Ray spoke to a travel agent for hours today; travel agents are very talkative.,13,a,A,frazier,frazier,frazier,frazier
Travel agents are very talkative; Ray spoke to a travel agent for hours today.,13,c,B,frazier,frazier,frazier,frazier
"Megan hired a carpenter last month, carpenters are really handy.",14,a,B,frazier,frazier,frazier,frazier
Carpenters are really handy; Megan hired a carpenter last month.,14,c,A,frazier,frazier,frazier,frazier
Pat interviewed an architect for the show; architects are quite reserved.,15,a,A,frazier,frazier,frazier,frazier
Architects are quite reserved; Pat interviewed an architect for the show.,15,c,B,frazier,frazier,frazier,frazier
Jen met a social worker at her last job; social workers are nice and friendly.,16,a,B,frazier,frazier,frazier,frazier
Social workers are nice and friendly; Jen met a social worker at her last job.,16,c,A,frazier,frazier,frazier,frazier
Sara dated a rock star two years ago; rock starts are usually unconventional.,17,a,A,frazier,frazier,frazier,frazier
Rock starts are usually unconventional; Sara dated a rock star two years ago.,17,c,B,frazier,frazier,frazier,frazier
Ken photographed a model today; models attract lots of attention.,18,a,B,frazier,frazier,frazier,frazier
Models attract lots of attention; Ken photographed a model today.,18,c,A,frazier,frazier,frazier,frazier
Daniel invited a journalist for dinner; journalists like free food.,19,a,A,frazier,frazier,frazier,frazier
Journalists like free food; Daniel invited a journalist for dinner.,19,c,B,frazier,frazier,frazier,frazier
Peter praised a policeman last week; policemen have a dangerous job.,20,a,B,frazier,frazier,frazier,frazier
Policemen have a dangerous job; Peter praised a policeman last week.,20,c,A,frazier,frazier,frazier,frazier
